change_metric_(cause),target_value_change_(consequence),support,confidence,uplift
"[""ic: ('(0.165, 0.425)', '(0.415, 0.585)')""]","bug: ('1', '0')",0.5190311418685121,0.4504504504504505,0.023452518262206845
"[""ic: ('(0.165, 0.425)', '(0.415, 0.585)')""]","bug: ('1', '0')",0.5190311418685121,0.457002457002457,0.0239698018244731
"[""ic: ('(0.165, 0.425)', '(0.575, 0.835)')""]","bug: ('1', '0')",0.5190311418685121,0.7413127413127414,0.04641621354424122
"[""ic: ('(0.165, 0.425)', '(0.575, 0.835)')""]","bug: ('1', '0')",0.5190311418685121,0.7413127413127414,0.04641621354424122
"[""dit: ('(-0.005, 0.125)', '(0.875, 1.005)')""]","bug: ('1', '0')",0.5017301038062284,0.6901408450704225,0.0847750865051903
"[""mfa: ('(-0.005, 0.855)', '(0.895, 0.945)')"", ""cam: ('(-0.005, 0.34500000000000003)', '(0.335, 0.405)')"", ""dit: ('(-0.005, 0.125)', '(0.11499999999999999, 0.295)')""]","bug: ('1', '0')",0.5017301038062284,0.4773662551440329,0.055795847750865046
"[""dit: ('(-0.005, 0.125)', '(0.875, 1.005)')""]","bug: ('1', '0')",0.5017301038062284,0.6857142857142857,0.08304498269896193
"[""mfa: ('(-0.005, 0.855)', '(0.9349999999999999, 0.995)')"", ""dam: ('(0.365, 1.005)', '(-0.005, 0.10500000000000001)')""]","bug: ('1', '0')",0.5017301038062284,0.5530679933665008,0.11409073433294886
"[""mfa: ('(-0.005, 0.855)', '(0.9349999999999999, 0.995)')"", ""cam: ('(-0.005, 0.34500000000000003)', '(0.645, 0.765)')""]","bug: ('1', '0')",0.5017301038062284,0.625,0.11245674740484429
"[""cam: ('(-0.005, 0.34500000000000003)', '(0.335, 0.405)')"", ""dit: ('(-0.005, 0.125)', '(0.11499999999999999, 0.295)')""]","bug: ('1', '0')",0.5017301038062284,0.4406457739791073,0.047112057492680326
"[""mfa: ('(-0.005, 0.855)', '(0.9349999999999999, 0.995)')""]","bug: ('1', '0')",0.5017301038062284,0.6734082397003746,0.20426758938869666
